interactionID	basisOfRecord	interactionText	sourceTaxonId	sourceTaxonName	sourceFamilyName	sourceCommonName	sourceSexName	sourceLifeStageName	interactionTypeId	interactionTypeName	isNegated	targetTaxonId	targetTaxonName	targetFamilyName	targetCommonName	targetLifeStageName	higherGeography	enteredBy	notes	containsTaxonTreatment	TreatmentBankIdentifier	referenceDoi	referenceCitation
1	literatureRecord	An Afrotropical species, all of whose parasitic stages are usually found on Artiodactyla: Bovidae, but they have also been collected from Mammalia (several orders), and Galliformes: Numididae and Phasianidae. Adult ticks alone have been recovered from Passeriformes: Laniidae, and Testudines (unknown family), while immature stages have been taken from Aves (several orders). Rhipicephalus appendiculatus is a sporadic parasite of humans.		 Rhipicephalus appendiculatus	Ixodidae			All parasitic life stages	http://purl.obolibrary.org/obo/RO_0002454	found on	FALSE		Artiodactyla: Bovidae	Bovidae			Afrotropical	Horus Balogh-Zanin				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
2	literatureRecord	Neumann, 1907d. An Afrotropical species whose adults have been found on Artio-dactyla: Bovidae and Suidae. Rhipicephalus aurantiacus is a very rare parasite of humans.		 Rhipicephalus aurantiacus	Ixodidae			All parasitic life stages	http://purl.obolibrary.org/obo/RO_0002454	very rare parasite of	FALSE		Homo sapiens	Hominidae			Afrotropical	Horus Balogh-Zanin				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
3	literatureRecord	An Australasian species, all of whose parasitic stages are usually found on Squamata: Scincidae, but they have also been found on Squamata: Agamidae. There are no records of Amblyomma albolimbatum causing human parasitism		Amblyomma albolimbatum	Ixodidae			all parasitic life stages	http://purl.obolibrary.org/obo/RO_0002454	parasitism found on	FALSE		Squamata: Scincidae	Scincidae			Australasian	Wilma Wei		TRUE	http://treatment.plazi.org/id/C04787D4-FFA7-FF8C-FF07-FAF965B3CC42	10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
4	literatureRecord	An Australasian species, all of whose parasitic stages are usually found on Squamata: Scincidae, but they have also been found on Squamata: Agamidae. There are no records of Amblyomma albolimbatum causing human parasitism		Amblyomma albolimbatum	Ixodidae				http://purl.obolibrary.org/obo/RO_0002454	parasitism found on	FALSE		Squamata: Agamidae	Agamidae			Australasian	Wilma Wei		TRUE	http://treatment.plazi.org/id/C04787D4-FFA7-FF8C-FF07-FAF965B3CC42	10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
5	literatureRecord	An Australasian species, all of whose parasitic stages are usually found on Squamata: Scincidae, but they have also been found on Squamata: Agamidae. There are no records of Amblyomma albolimbatum causing human parasitism		Amblyomma albolimbatum	Ixodidae				http://purl.obolibrary.org/obo/RO_0002454	parasite of	TRUE		Homo sapiens	Hominidae	human		Australasian	Wilma Wei		TRUE	http://treatment.plazi.org/id/C04787D4-FFA7-FF8C-FF07-FAF965B3CC42	10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
6	literatureRecord	A Neotropical species, all of whose parasitic stages are usually found on Squamata: Iguanidae; adults and nymphs have been collected from Squamata: Boidae. Durden et al. (2015) found larvae and nymphs on Squamata: Tropiduridae. There are no records of Amblyomma albopictum causing human parasitism.		Amblyomma albopictum	Ixodidae			all parasitic life stages	http://purl.obolibrary.org/obo/RO_0002454	found on	FALSE		Squamata: Iguanidae	Iguanidae			Neotropical	Wilma Wei		TRUE		10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
7	literatureRecord	A Neotropical species, all of whose parasitic stages are usually found on Squamata: Iguanidae; adults and nymphs have been collected from Squamata: Boidae. Durden et al. (2015) found larvae and nymphs on Squamata: Tropiduridae. There are no records of Amblyomma albopictum causing human parasitism.		Amblyomma albopictum	Ixodidae			adults and nymphs	http://purl.obolibrary.org/obo/RO_0002454	collected from	FALSE		Squamata: Boidae	Boidae			Neotropical	Wilma Wei		TRUE		10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
8	literatureRecord	A Neotropical species, all of whose parasitic stages are usually found on Squamata: Iguanidae; adults and nymphs have been collected from Squamata: Boidae. Durden et al. (2015) found larvae and nymphs on Squamata: Tropiduridae. There are no records of Amblyomma albopictum causing human parasitism.		Amblyomma albopictum	Ixodidae			larvae and nymphs	http://purl.obolibrary.org/obo/RO_0002454	found on	FALSE		Squamata: Tropiduridae	Tropiduridae			Neotropical	Wilma Wei		TRUE		10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
9	literatureRecord	A Neotropical species, all of whose parasitic stages are usually found on Squamata: Iguanidae; adults and nymphs have been collected from Squamata: Boidae. Durden et al. (2015) found larvae and nymphs on Squamata: Tropiduridae. There are no records of Amblyomma albopictum causing human parasitism.		Amblyomma albopictum	Ixodidae				http://purl.obolibrary.org/obo/RO_0002454	parasite of	TRUE		Homo Sapiens	Hominidae	human		Neotropical	Wilma Wei		TRUE		10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
10	literatureRecord	A Nearctic species, all of whose parasitic stages are usually found on Mammalia (several orders); adults alone have been collected from Galliformes: Phasianidae, and Pelecaniformes: Ardeidae; nymphs and larvae have been recovered from Aves (several orders). Amblyomma americanum is a very frequent parasite of humans.		Amblyomma americanum	Ixodidae			all parasitic life stages	http://purl.obolibrary.org/obo/RO_0002454	found on	FALSE		Several orders of Mammalia 				Nearctic	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
11	literatureRecord	A Nearctic species, all of whose parasitic stages are usually found on Mammalia (several orders); adults alone have been collected from Galliformes: Phasianidae, and Pelecaniformes: Ardeidae; nymphs and larvae have been recovered from Aves (several orders). Amblyomma americanum is a very frequent parasite of humans.		Amblyomma americanum	Ixodidae			adults	http://purl.obolibrary.org/obo/RO_0002454	collected from	FALSE		Galliformes: Phasianidae	Phasianidae			Nearctic	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
12	literatureRecord	A Nearctic species, all of whose parasitic stages are usually found on Mammalia (several orders); adults alone have been collected from Galliformes: Phasianidae, and Pelecaniformes: Ardeidae; nymphs and larvae have been recovered from Aves (several orders). Amblyomma americanum is a very frequent parasite of humans.		Amblyomma americanum	Ixodidae			adults	http://purl.obolibrary.org/obo/RO_0002454	collected from	FALSE		Pelecaniformes: Ardeidae	Ardeidae			Nearctic	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
13	literatureRecord	A Nearctic species, all of whose parasitic stages are usually found on Mammalia (several orders); adults alone have been collected from Galliformes: Phasianidae, and Pelecaniformes: Ardeidae; nymphs and larvae have been recovered from Aves (several orders). Amblyomma americanum is a very frequent parasite of humans.		Amblyomma americanum	Ixodidae			nymphs and larvae	http://purl.obolibrary.org/obo/RO_0002454	recovered from	FALSE		Several orders of Aves 				Nearctic	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
14	literatureRecord	A Nearctic species, all of whose parasitic stages are usually found on Mammalia (several orders); adults alone have been collected from Galliformes: Phasianidae, and Pelecaniformes: Ardeidae; nymphs and larvae have been recovered from Aves (several orders). Amblyomma americanum is a very frequent parasite of humans.		Amblyomma americanum	Ixodidae			unknown	http://purl.obolibrary.org/obo/RO_0002454	parasite of	FALSE		Homo Sapiens	Hominidae	human		Nearctic	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
15	literatureRecord	A  Neotropical  species,  all  of  whose  parasitic  stages  are  usually  collected from Squamata: Iguanidae. Durden et al. (2015) found adults on Squamata: Boidae, and larvae on Squamata: Colubridae and Teiidae. There are no records of Amblyomma antillorum causing human parasitism.		Amblyomma americanum	Ixodidae			all parasitic life stages	http://purl.obolibrary.org/obo/RO_0002454	collected from	FALSE		Squamata: Iguanidae	Iguanidae			Neotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
16	literatureRecord	A  Neotropical  species,  all  of  whose  parasitic  stages  are  usually  collected from Squamata: Iguanidae. Durden et al. (2015) found adults on Squamata: Boidae, and larvae on Squamata: Colubridae and Teiidae. There are no records of Amblyomma antillorum causing human parasitism.		Amblyomma americanum	Ixodidae			adults	http://purl.obolibrary.org/obo/RO_0002454	found on	FALSE		Squamata: Boidae	Boidae			Neotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
17	literatureRecord	A  Neotropical  species,  all  of  whose  parasitic  stages  are  usually  collected from Squamata: Iguanidae. Durden et al. (2015) found adults on Squamata: Boidae, and larvae on Squamata: Colubridae and Teiidae. There are no records of Amblyomma antillorum causing human parasitism.		Amblyomma americanum	Ixodidae			larvae	http://purl.obolibrary.org/obo/RO_0002454	found on	FALSE		Squamata: Colubridae	Colubridae			Neotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
18	literatureRecord	A  Neotropical  species,  all  of  whose  parasitic  stages  are  usually  collected from Squamata: Iguanidae. Durden et al. (2015) found adults on Squamata: Boidae, and larvae on Squamata: Colubridae and Teiidae. There are no records of Amblyomma antillorum causing human parasitism.		Amblyomma americanum	Ixodidae			larvae	http://purl.obolibrary.org/obo/RO_0002454	found on	FALSE		Squamata: Teiidae	Teiidae			Neotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
19	literatureRecord	A  Neotropical  species,  all  of  whose  parasitic  stages  are  usually  collected from Squamata: Iguanidae. Durden et al. (2015) found adults on Squamata: Boidae, and larvae on Squamata: Colubridae and Teiidae. There are no records of Amblyomma antillorum causing human parasitism.		Amblyomma americanum	Ixodidae				http://purl.obolibrary.org/obo/RO_0002454	parasite of	TRUE		Homo Sapiens	Hominidae	human		Neotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
20	literatureRecord	An Afrotropical species whose adults are usually found on Squamata: Varanidae,  and  nymphs  have  also  been  collected  from  this  type  of  host;  adults  alone  have  been  recovered  from Crocodilia: Crocodylidae, Rodentia: Anomaluridae, Chiroptera: Pteropodidae, and Pholidota: Manidae. There are no records of Amblyomma arcanum causing human parasitism.		Amblyomma americanum	Ixodidae			mostly adults, occasionly nymphs	http://purl.obolibrary.org/obo/RO_0002454	found on	FALSE		Squamata: Varanidae	Varanidae			Afrotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
21	literatureRecord	An Afrotropical species whose adults are usually found on Squamata: Varanidae,  and  nymphs  have  also  been  collected  from  this  type  of  host;  adults  alone  have  been  recovered  from Crocodilia: Crocodylidae, Rodentia: Anomaluridae, Chiroptera: Pteropodidae, and Pholidota: Manidae. There are no records of Amblyomma arcanum causing human parasitism.		Amblyomma americanum	Ixodidae			adults	http://purl.obolibrary.org/obo/RO_0002454	recovered from	FALSE		Crocodilia: Crocodylidae	Crocodylidae			Afrotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
22	literatureRecord	An Afrotropical species whose adults are usually found on Squamata: Varanidae,  and  nymphs  have  also  been  collected  from  this  type  of  host;  adults  alone  have  been  recovered  from Crocodilia: Crocodylidae, Rodentia: Anomaluridae, Chiroptera: Pteropodidae, and Pholidota: Manidae. There are no records of Amblyomma arcanum causing human parasitism.		Amblyomma americanum	Ixodidae			adults	http://purl.obolibrary.org/obo/RO_0002454	recovered from	FALSE		Rodentia: Anomaluridae	Anomaluridae			Afrotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
23	literatureRecord	An Afrotropical species whose adults are usually found on Squamata: Varanidae,  and  nymphs  have  also  been  collected  from  this  type  of  host;  adults  alone  have  been  recovered  from Crocodilia: Crocodylidae, Rodentia: Anomaluridae, Chiroptera: Pteropodidae, and Pholidota: Manidae. There are no records of Amblyomma arcanum causing human parasitism.		Amblyomma americanum	Ixodidae			adults	http://purl.obolibrary.org/obo/RO_0002454	recovered from	FALSE		Chiroptera: Pteropodidae	Pteropodidae			Afrotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
24	literatureRecord	An Afrotropical species whose adults are usually found on Squamata: Varanidae,  and  nymphs  have  also  been  collected  from  this  type  of  host;  adults  alone  have  been  recovered  from Crocodilia: Crocodylidae, Rodentia: Anomaluridae, Chiroptera: Pteropodidae, and Pholidota: Manidae. There are no records of Amblyomma arcanum causing human parasitism.		Amblyomma americanum	Ixodidae			adults	http://purl.obolibrary.org/obo/RO_0002454	recovered from	FALSE		Pholidota: Manidae	Manidae			Afrotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
25	literatureRecord	An Afrotropical species whose adults are usually found on Squamata: Varanidae,  and  nymphs  have  also  been  collected  from  this  type  of  host;  adults  alone  have  been  recovered  from Crocodilia: Crocodylidae, Rodentia: Anomaluridae, Chiroptera: Pteropodidae, and Pholidota: Manidae. There are no records of Amblyomma arcanum causing human parasitism.		Amblyomma americanum	Ixodidae				http://purl.obolibrary.org/obo/RO_0002454	parasite of	TRUE		Homo Sapiens	Hominidae			Afrotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
26	literatureRecord	An Oriental species whose adults have been collected from Artiodactyla: Cervidae; nymphs alone have been found on Artiodactyla: Cervidae and Suidae. There are no records of Amblyomma anicornuta causing human parasitism.		Amblyomma anicornuta	Ixodidae			adults	http://purl.obolibrary.org/obo/RO_0002454	collected from	FALSE		Artiodactyla: Cervidae	Cervidae			Oriental	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
27	literatureRecord	An Oriental species whose adults have been collected from Artiodactyla: Cervidae; nymphs alone have been found on Artiodactyla: Cervidae and Suidae. There are no records of Amblyomma anicornuta causing human parasitism.		Amblyomma anicornuta	Ixodidae			nymphs	http://purl.obolibrary.org/obo/RO_0002454	found on	FALSE		Artiodactyla: Cervidae	Cervidae			Oriental	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
28	literatureRecord	An Oriental species whose adults have been collected from Artiodactyla: Cervidae; nymphs alone have been found on Artiodactyla: Cervidae and Suidae. There are no records of Amblyomma anicornuta causing human parasitism.		Amblyomma anicornuta	Ixodidae			nymphs	http://purl.obolibrary.org/obo/RO_0002454	found on	FALSE		Artiodactyla: Suidae	Suidae			Oriental	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
29	literatureRecord	An Oriental species whose adults have been collected from Artiodactyla: Cervidae; nymphs alone have been found on Artiodactyla: Cervidae and Suidae. There are no records of Amblyomma anicornuta causing human parasitism.		Amblyomma anicornuta	Ixodidae				http://purl.obolibrary.org/obo/RO_0002454	parasite of	TRUE		Homo Sapiens	Hominidae	human		Oriental	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
30	literatureRecord	A Neotropical species, all of whose parasitic stages are usually found on Testudines: Testudinidae; adults and nymphs have been collected from Squamata: Viperidae; adults alone have been recovered from Testudines: Chelidae, Squamata: Boidae, and Anura: Bufonidae, and there is a record from Passeriformes: Turdidae. There are no records of Amblyomma argentinae causing human parasitism.		Amblyomma argentinae	Ixodidae			all parasitic life stages	http://purl.obolibrary.org/obo/RO_0002454	found on	FALSE		Testudines: Testudinidae	Testudinidae			Neotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
31	literatureRecord	A Neotropical species, all of whose parasitic stages are usually found on Testudines: Testudinidae; adults and nymphs have been collected from Squamata: Viperidae; adults alone have been recovered from Testudines: Chelidae, Squamata: Boidae, and Anura: Bufonidae, and there is a record from Passeriformes: Turdidae. There are no records of Amblyomma argentinae causing human parasitism.		Amblyomma argentinae	Ixodidae			adults and nymphs	http://purl.obolibrary.org/obo/RO_0002454	collected from	FALSE		Squamata: Viperidae	Viperidae			Neotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
32	literatureRecord	A Neotropical species, all of whose parasitic stages are usually found on Testudines: Testudinidae; adults and nymphs have been collected from Squamata: Viperidae; adults alone have been recovered from Testudines: Chelidae, Squamata: Boidae, and Anura: Bufonidae, and there is a record from Passeriformes: Turdidae. There are no records of Amblyomma argentinae causing human parasitism.		Amblyomma argentinae	Ixodidae			adults 	http://purl.obolibrary.org/obo/RO_0002454	recovered from	FALSE		Testudines: Chelidae	Chelidae			Neotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
33	literatureRecord	A Neotropical species, all of whose parasitic stages are usually found on Testudines: Testudinidae; adults and nymphs have been collected from Squamata: Viperidae; adults alone have been recovered from Testudines: Chelidae, Squamata: Boidae, and Anura: Bufonidae, and there is a record from Passeriformes: Turdidae. There are no records of Amblyomma argentinae causing human parasitism.		Amblyomma argentinae	Ixodidae			adults	http://purl.obolibrary.org/obo/RO_0002454	recovered from	FALSE		Squamata: Boidae	Boidae			Neotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
34	literatureRecord	A Neotropical species, all of whose parasitic stages are usually found on Testudines: Testudinidae; adults and nymphs have been collected from Squamata: Viperidae; adults alone have been recovered from Testudines: Chelidae, Squamata: Boidae, and Anura: Bufonidae, and there is a record from Passeriformes: Turdidae. There are no records of Amblyomma argentinae causing human parasitism.		Amblyomma argentinae	Ixodidae			adults	http://purl.obolibrary.org/obo/RO_0002454	recovered from	FALSE		Anura: Bufonidae	Bufonidae			Neotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
35	literatureRecord	A Neotropical species, all of whose parasitic stages are usually found on Testudines: Testudinidae; adults and nymphs have been collected from Squamata: Viperidae; adults alone have been recovered from Testudines: Chelidae, Squamata: Boidae, and Anura: Bufonidae, and there is a record from Passeriformes: Turdidae. There are no records of Amblyomma argentinae causing human parasitism. 		Amblyomma argentinae	Ixodidae				http://purl.obolibrary.org/obo/RO_0002454	record of	FALSE		Passeriformes: Turdidae	Turdidae			Neotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
36	literatureRecord	A Neotropical species, all of whose parasitic stages are usually found on Testudines: Testudinidae; adults and nymphs have been collected from Squamata: Viperidae; adults alone have been recovered from Testudines: Chelidae, Squamata: Boidae, and Anura: Bufonidae, and there is a record from Passeriformes: Turdidae. There are no records of Amblyomma argentinae causing human parasitism. 		Amblyomma argentinae	Ixodidae				http://purl.obolibrary.org/obo/RO_0002454	parasite of	TRUE		Homo Sapiens	Hominidae	human		Neotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
37	literatureRecord	An Afrotropical  species  whose  adults  and  nymphs  are  usually  found  on Artiodactyla: Bovidae, but larvae have also been recovered from this type of host; adults and nymphs have been collected from Artiodactyla: Suidae, and Carnivora: Canidae; adults alone have been found on Afrosoricida: Tenricidae, and Proboscidea: Elephantidae; larvae have rarely been collected from Galliformes: Phasianidae. There are no records of Amblyomma astrion causing human parasitism.		Amblyomma astrion	Ixodidae			adults and nymphs, some larvae	http://purl.obolibrary.org/obo/RO_0002454	found on	FALSE		Artiodactyla: Bovidae	Bovidae			Afrotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
38	literatureRecord	An Afrotropical  species  whose  adults  and  nymphs  are  usually  found  on Artiodactyla: Bovidae, but larvae have also been recovered from this type of host; adults and nymphs have been collected from Artiodactyla: Suidae, and Carnivora: Canidae; adults alone have been found on Afrosoricida: Tenricidae, and Proboscidea: Elephantidae; larvae have rarely been collected from Galliformes: Phasianidae. There are no records of Amblyomma astrion causing human parasitism.		Amblyomma astrion	Ixodidae			adults and nymphs 	http://purl.obolibrary.org/obo/RO_0002454	collected from	FALSE		Artiodactyla: Suidae	Suidae			Afrotropical	Wilma Wei				10.11646/zootaxa.4871.1.1. PMID: 33311340.	Guglielmone AA, Petney TN, Robbins RG. Ixodidae (Acari: Ixodoidea): descriptions and redescriptions of all known species from 1758 to December 31, 2019. Zootaxa. 2020 Nov 5;4871(1): zootaxa.4871.1.1.
